sep=,
Title,Artist,Type,Confidence_Score,Source_File
"夜曲","周傑倫",Recommended,4.478,"20260429115404_2388_328.jpg"
"愛錯","王力宏",Recommended,4.434,"20260429115404_2388_328.jpg"
"Stitches","Shawn Mendes",Recommended,4.495,"20260429115404_2388_328.jpg"
"Payphone","Maroon 5, Wiz Khalifa",Recommended,4.456,"20260429115538_2393_328.jpg"
"因為你","方大同",Recommended,4.445,"20260429115538_2393_328.jpg"
"Treasure","Bruno Mars",Recommended,4.583,"20260429115802_2396_328_13.12.04.jpg"
"Treat You Better","Shawn Mendes",Recommended,4.491,"20260429120435_2401_328_13.12.04.png"
"Moves Like Jagger - Studio Recording...","Maroon 5, Christina Aguilera",Recommended,4.451,"20260429120435_2401_328_13.12.04.png"
"Say a lil something","蕭敬騰",Recommended,4.295,"20260429120435_2401_328_13.12.04.png"
"Locked out of Heaven","Bruno Mars",Recommended,4.482,"20260429120435_2401_328_13.12.04.png"
"Three Kingdom Love","TANK呂建忠",Recommended,4.488,"20260429120435_2401_328_13.12.04.png"
"Girls Like You (feat. Cardi B) - Cardi B V..","Maroon 5, Cardi B",Recommended,4.58,"20260429120435_2401_328_13.12.04.png"
"Forget Me","Lewis Capaldi",Recommended,4.453,"20260429120436_2402_328_13.12.04.png"
"One More Night","Maroon5",Recommended,4.472,"20260429120436_2402_328_13.12.04.png"
"Got You","Matt Terry",Recommended,4.461,"20260429120436_2402_328_13.12.04.png"
"Hymn for the Weekend","Coldplay",Recommended,4.307,"20260429120809_2411_328.png"
