sep=,
Title,Artist,Type,Confidence_Score,Source_File
"Call Me When You Break Up (with Gr.","Selena Gomez, benny blanco, Gracie Abra.",Recommended,4.484,"20260429114107_4521_260_14.06.09.jpg"
"7Years","Lukas Graham",Recommended,4.475,"20260429114107_4521_260_14.06.09.jpg"
"City Of Stars","Ryan Gosling",Recommended,4.475,"20260429114107_4521_260_14.06.09.jpg"
"So Sick","Ne-Yo",Organic,N/A,"20260429114107_4521_260_14.06.09.jpg"
"Somewhere In The City","Colman Domingo, Aneesa Folds",Organic,N/A,"20260429114107_4521_260_14.06.09.jpg"
"Paradise","i-dle",Organic,N/A,"20260429114107_4521_260_14.06.09.jpg"
"DIFFERENT - English ver.","LE SSERAFIM",Organic,N/A,"20260429114107_4521_260_14.06.09.jpg"
"Stitches","Shawn Mendes",Organic,N/A,"20260429114107_4521_260_14.06.09.jpg"
"On My Own","25th Anniversary Cast",Organic,N/A,"20260429114107_4521_260_14.06.09.jpg"
"Would You Fallin Love with Me Again","Jorge Rivera-Herrans, Anna Lea",Recommended,4.474,"20260429114108_4522_260_14.06.09.jpg"
"FEARLESS","LE SSERAFIM",Recommended,4.505,"20260429114108_4522_260_14.06.09.jpg"
"Lust For Life (with The Weeknd)","Lana Del Rey, The Weeknd",Recommended,4.505,"20260429114108_4522_260_14.06.09.jpg"
"NOT SORRY (Feat. pH-1) (Prod. by SI...","Lee Young Ji, pH-1",Organic,N/A,"20260429114108_4522_260_14.06.09.jpg"
"Say My Name","Alex Brightman, Sophia Anne Caruso, Kerry B..",Organic,N/A,"20260429114108_4522_260_14.06.09.jpg"
"Pink Pony Club","Chappell Roan",Organic,N/A,"20260429114108_4522_260_14.06.09.jpg"
"Reminder","The Weeknd",Organic,N/A,"20260429114108_4522_260_14.06.09.jpg"
"Magic","WIM",Organic,N/A,"20260429114108_4522_260_14.06.09.jpg"
"Someone In The Crowd","Emma Stone, Callie Hernandez, Sonoya Mi..",Recommended,4.486,"20260429114109_4523_260_14.06.09.jpg"
"LATATA","i-dle",Recommended,4.475,"20260429114109_4523_260_14.06.09.jpg"
"Teenage Dream","Katy Perry",Recommended,4.475,"20260429114109_4523_260_14.06.09.jpg"
"Amour plastique","Videoclub, Adèle Castillon, Mattyeux",Organic,N/A,"20260429114109_4523_260_14.06.09.jpg"
"Darlin'","The Beach Boys, Royal Philharmonic Orchestra",Organic,N/A,"20260429114109_4523_260_14.06.09.jpg"
"Single Soon","Selena Gomez",Organic,N/A,"20260429114109_4523_260_14.06.09.jpg"
"How to Love (feat. Sofia Reyes)","Cash Cash, Sofia Reyes",Organic,N/A,"20260429114109_4523_260_14.06.09.jpg"
"Young ＆ One","HyunA, JO KWON, BTOB, CLC, PENTAGON, Y..",Organic,N/A,"20260429114109_4523_260_14.06.09.jpg"
"Born To Die","Lana Del Rey",Recommended,4.476,"20260429114110_4524_260_14.06.09.jpg"
"Typa Girl","BLACKPINK",Recommended,4.573,"20260429114110_4524_260_14.06.09.jpg"
"Are You Bored Yet? (feat. Clairo)","Wallows, Clairo",Recommended,4.483,"20260429114110_4524_260_14.06.09.jpg"
"ilı So Sick","Ne-Yo",Organic,N/A,"20260429114110_4524_260_14.06.09.jpg"
"We Made It - From the""Lyle Lyle Cro..","Anthony Ramos",Organic,N/A,"20260429114110_4524_260_14.06.09.jpg"
"Episode","LEE MU JIN",Organic,N/A,"20260429114110_4524_260_14.06.09.jpg"
"Just Another Girl","aespa",Organic,N/A,"20260429114110_4524_260_14.06.09.jpg"
"U Know What's Up - The Panda Hust...","4*TOWN (From Disney and Pixar's Turning Re..",Organic,N/A,"20260429114110_4524_260_14.06.09.jpg"
"Dunning Kruger (lt's Killing Me)","Mykyl",Organic,N/A,"20260429114110_4524_260_14.06.09.jpg"
