Title,Artist,Type,Confidence_Score,Source_File
STARGAZING,Travis Scott,Recommended,4.59,WhatsApp_Image_2026-04-29_at_12.39.32_1.jpeg
Father Stretch My Hands Pt.1,Kanye West,Recommended,4.484,WhatsApp_Image_2026-04-29_at_12.39.32_1.jpeg
La rencontre - Bande origin...,Francis Lai,Recommended,4.494,WhatsApp_Image_2026-04-29_at_12.39.32_1.jpeg
Ludwig G枚ransson,Vivvu,Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.32_1.jpeg
Starlight,Dave,Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.32_1.jpeg
Do You Know,Diljit Dosanjh,Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.32_1.jpeg
Archangel,SAMURAI,Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.32_1.jpeg
Always Wrong,S-X,Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.32_1.jpeg
No Pole,Don Toliver,Recommended,4.45,WhatsApp_Image_2026-04-29_at_12.39.32_2.jpeg
Mask Off,E Future,Recommended,4.541,WhatsApp_Image_2026-04-29_at_12.39.32_2.jpeg
Can't Tell Me Nothing,Kanye West,Recommended,4.557,WhatsApp_Image_2026-04-29_at_12.39.32_2.jpeg
Can You Hear The Music,Ludwig G枚ransson,Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.32_2.jpeg
BUTTERFLY EFFECT,Travis Scott,Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.32_2.jpeg
Titanium,Dave,Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.32_2.jpeg
Gear 5 Luffy UK Drill (One Pi...,"Pureojuice, G!LS",Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.32_2.jpeg
Summertime Sadness,Lana Del Rey,Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.32_2.jpeg
It's Beginning to Look a Lot...,Michael Bubl茅,Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.32_2.jpeg
Touch The Sky,"Kanye West, Lupe Fiasco",Recommended,4.288,WhatsApp_Image_2026-04-29_at_12.39.32.jpeg
All The Stars (with SZA) - Fr....,"Kendrick Lamar, SZA",Recommended,4.266,WhatsApp_Image_2026-04-29_at_12.39.32.jpeg
l Can You Hear The Music,Ludwig G枚ransson,Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.32.jpeg
Praise The Lord (Da Shine) (..,"A$AP Rocky, Skepta",Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.32.jpeg
SICKO MODE,Travis Scott,Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.32.jpeg
No Church In The Wild,"JAY-Z, Kanye West, Frank Ocea..",Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.32.jpeg
Sports car,Tate McRae,Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.32.jpeg
Spin The Wheel (from the s...,"Arcane, League of Legends",Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.32.jpeg
9,Drake,Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.32.jpeg
Gold Digger,"Kanye West, Jamie Foxx",Recommended,4.466,WhatsApp_Image_2026-04-29_at_12.39.33_1.jpeg
L'arriv茅e de Maria - Bande o...,"Francis Lai, Christian Gaubert",Recommended,4.334,WhatsApp_Image_2026-04-29_at_12.39.33_1.jpeg
谋l Can You Hear The Music,Ludwig G枚ransson,Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.33_1.jpeg
Still Here,Drake,Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.33_1.jpeg
Down Like That (feat. Rick R...,"KSl, S-X, Lil Baby, Rick Ross",Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.33_1.jpeg
Kuweni,"Ridma Weerawardena, Charitha...",Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.33_1.jpeg
Ride Out,"Kid Ink, Tyga, Wale, YG, Rich Ho...",Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.33_1.jpeg
"Travis Scott, Kacy Hill",Tu Hai Tu Thi,Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.33_1.jpeg
Le jardin d'hiver - Bande ori..,"Francis Lai, Christian Gaubert",Recommended,4.5,WhatsApp_Image_2026-04-29_at_12.39.33.jpeg
CAN'T SAY,Travis Scott,Recommended,4.506,WhatsApp_Image_2026-04-29_at_12.39.33.jpeg
Space Cadet (feat. Gunna),"Metro Boomin, Gunna",Recommended,4.299,WhatsApp_Image_2026-04-29_at_12.39.33.jpeg
Come Home,P.MO,Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.33.jpeg
Act Up,"Rich Brian, EARTHGANG",Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.33.jpeg
RAP DEVIL,mgk,Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.33.jpeg
Fine China,"Future, Juice WRLD",Organic,N/A,WhatsApp_Image_2026-04-29_at_12.39.33.jpeg
